month,region,product,units,revenue
2025-08,华东,智能音箱,120,35880
2025-08,华东,无线耳机,180,35820
2025-08,华东,运动手环,95,23655
2025-08,华北,智能音箱,90,26910
2025-08,华北,无线耳机,140,27860
2025-08,华北,运动手环,78,19422
2025-08,华南,智能音箱,75,22425
2025-08,华南,无线耳机,110,21890
2025-08,华南,运动手环,68,16932
2025-09,华东,智能音箱,135,40365
2025-09,华东,无线耳机,200,39800
2025-09,华东,运动手环,105,26145
2025-09,华北,智能音箱,98,29302
2025-09,华北,无线耳机,150,29850
2025-09,华北,运动手环,82,20418
2025-09,华南,智能音箱,80,23920
2025-09,华南,无线耳机,118,23482
2025-09,华南,运动手环,72,17928
2025-10,华东,智能音箱,148,44252
2025-10,华东,无线耳机,215,42785
2025-10,华东,运动手环,118,29382
2025-10,华北,智能音箱,108,32292
2025-10,华北,无线耳机,165,32835
2025-10,华北,运动手环,89,22161
2025-10,华南,智能音箱,88,26312
2025-10,华南,无线耳机,128,25472
2025-10,华南,运动手环,78,19422
2025-11,华东,智能音箱,162,48438
2025-11,华东,无线耳机,235,46765
2025-11,华东,运动手环,130,32370
2025-11,华北,智能音箱,118,35282
2025-11,华北,无线耳机,180,35820
2025-11,华北,运动手环,98,24402
2025-11,华南,智能音箱,95,28405
2025-11,华南,无线耳机,140,27860
2025-11,华南,运动手环,85,21165
2025-12,华东,智能音箱,235,70265
2025-12,华东,无线耳机,340,67660
2025-12,华东,运动手环,195,48555
2025-12,华北,智能音箱,165,49335
2025-12,华北,无线耳机,255,50745
2025-12,华北,运动手环,140,34860
2025-12,华南,智能音箱,135,40365
2025-12,华南,无线耳机,200,39800
2025-12,华南,运动手环,120,29880
